[1mFalse Position method.[0m
Iterations       Absolute error 
  1         0.65069063744813604444 
  2         0.06358816982236614734 
  3         0.00449895749764195330 
  4         0.00030696842162925009 
  5         0.00002089050980158547 
  6         0.00000142143648274029 
  7         0.00000009671651568510 
  8         0.00000009671651568510 
